group,description,seed,final_reached,exposure_volume,cumulative_views,cumulative_engagements,cumulative_shares,peak_heat,peak_heat_step,heat_center_step,peak_sharing,peak_sharing_step,peak_exposed,peak_viewed,peak_engaged,overall_view_conversion,overall_engagement_conversion,overall_share_conversion,overall_skip_rate,overall_view_drop_rate,overall_engage_drop_rate,recommended_reach,max_social_depth,steps_to_half_reach,steps_to_half_peak_heat
baseline,当前配置,22,6400,6397,3251,1333,810,3157.7808,51,56.68498,357,48,1972,1151,379,0.508207,0.410028,0.607652,0.491793,0.589972,0.392348,352,1,23,45
baseline,当前配置,23,6400,6397,3187,1149,651,2482.4812,51,56.264054,267,48,2128,1149,324,0.498202,0.360527,0.56658,0.501798,0.639473,0.43342,341,1,23,44
baseline,当前配置,24,6400,6397,3170,1198,634,2421.6598,56,61.275595,264,51,2249,1167,359,0.495545,0.377918,0.529215,0.504455,0.622082,0.470785,386,1,27,49
baseline,当前配置,25,6400,6397,3254,1240,678,2633.1804,52,56.369825,296,48,1956,1117,358,0.508676,0.381069,0.546774,0.491324,0.618931,0.453226,315,1,23,45
baseline,当前配置,26,6400,6397,3262,1264,778,2974.947,51,55.829094,321,47,1823,1052,333,0.509927,0.387492,0.615506,0.490073,0.612508,0.384494,350,1,21,43
no_recommend,关闭平台推荐链路,22,6400,6397,3241,1321,796,3119.3114,52,57.676549,340,48,1902,1079,351,0.506644,0.40759,0.602574,0.493356,0.59241,0.397426,0,1,24,46
no_recommend,关闭平台推荐链路,23,6400,6397,3165,1150,659,2553.1196,52,56.952974,279,48,2070,1114,309,0.494763,0.363349,0.573043,0.505237,0.636651,0.426957,0,1,23,45
no_recommend,关闭平台推荐链路,24,6400,6397,3223,1221,684,2649.955,57,62.114756,266,53,2173,1156,347,0.50383,0.37884,0.560197,0.49617,0.62116,0.439803,0,1,28,49
no_recommend,关闭平台推荐链路,25,6400,6397,3255,1247,704,2748.1036,52,57.091109,299,48,1926,1094,351,0.508832,0.383103,0.564555,0.491168,0.616897,0.435445,0,1,23,45
no_recommend,关闭平台推荐链路,26,6400,6397,3218,1217,701,2636.8119,53,57.762349,275,49,1831,1030,303,0.503048,0.378185,0.576007,0.496952,0.621815,0.423993,0,2,23,45
weak_social,削弱社交传播影响,22,6400,6397,3253,1337,811,3168.3347,51,56.674103,360,48,1973,1153,380,0.50852,0.411005,0.606582,0.49148,0.588995,0.393418,352,1,23,45
weak_social,削弱社交传播影响,23,6400,6397,3188,1148,642,2438.6247,52,56.295642,259,48,2127,1149,324,0.498359,0.3601,0.559233,0.501641,0.6399,0.440767,342,1,23,44
weak_social,削弱社交传播影响,24,6400,6397,3171,1198,631,2409.0478,56,61.246745,263,51,2250,1170,359,0.495701,0.377799,0.526711,0.504299,0.622201,0.473289,388,0,27,49
weak_social,削弱社交传播影响,25,6400,6397,3254,1240,682,2648.9318,52,56.385103,299,48,1953,1116,359,0.508676,0.381069,0.55,0.491324,0.618931,0.45,315,1,23,45
weak_social,削弱社交传播影响,26,6400,6397,3250,1256,777,2916.4455,51,56.230937,306,47,1759,1012,319,0.508051,0.386462,0.618631,0.491949,0.613538,0.381369,352,1,21,44
no_heat_feedback,关闭热度对行为的反向影响,22,2327,2324,1078,278,69,26.227,200,257.326395,3,0,46,28,8,0.463855,0.257885,0.248201,0.525387,0.729128,0.744604,2263,1,218,81
no_heat_feedback,关闭热度对行为的反向影响,23,2214,2211,1045,262,50,33.2645,58,201.847573,4,38,52,29,9,0.472637,0.250718,0.19084,0.524649,0.735885,0.801527,2170,1,218,7
no_heat_feedback,关闭热度对行为的反向影响,24,2324,2321,1052,263,46,23.4465,75,235.598996,3,0,44,28,12,0.453253,0.25,0.174905,0.538992,0.737643,0.81749,2277,1,218,51
no_heat_feedback,关闭热度对行为的反向影响,25,2257,2254,1057,259,57,32.2219,421,244.366289,4,420,45,30,12,0.468944,0.245033,0.220077,0.523514,0.738884,0.760618,2203,1,214,47
no_heat_feedback,关闭热度对行为的反向影响,26,2312,2309,1115,263,55,39.0104,95,201.004323,5,92,48,32,11,0.482893,0.235874,0.209125,0.508012,0.756054,0.768061,2271,2,221,55
no_heterogeneity,关闭用户个体差异,22,6400,6397,3205,1263,712,2986.3235,50,55.117069,326,46,1763,996,331,0.501016,0.394072,0.563737,0.498984,0.605928,0.436263,322,1,20,43
no_heterogeneity,关闭用户个体差异,23,6400,6397,3187,1105,574,2273.227,57,61.135991,232,52,2096,1158,303,0.498202,0.346721,0.519457,0.501798,0.653279,0.480543,356,1,26,48
no_heterogeneity,关闭用户个体差异,24,6400,6397,3167,1123,542,2117.3103,56,60.763036,220,53,1834,982,275,0.495076,0.354594,0.482636,0.504924,0.645406,0.517364,364,1,26,49
no_heterogeneity,关闭用户个体差异,25,6400,6397,3262,1158,604,2444.4181,55,60.561044,252,51,2420,1265,324,0.509927,0.354997,0.521589,0.490073,0.645003,0.478411,374,0,27,48
no_heterogeneity,关闭用户个体差异,26,6400,6397,3254,1158,585,2279.5811,52,56.917936,224,48,2104,1128,298,0.508676,0.35587,0.505181,0.491324,0.64413,0.494819,330,1,23,44
no_dropout,关闭中间阶段流失,22,6400,6397,6397,6397,6397,29515.6289,43,50.223114,4092,40,3605,3671,2930,1.0,1.0,1.0,0.0,0.0,0.0,327,1,23,38
no_dropout,关闭中间阶段流失,23,6400,6397,6397,6397,6397,29186.5651,41,48.592087,4085,38,3514,3716,3009,1.0,1.0,1.0,0.0,0.0,0.0,322,1,21,36
no_dropout,关闭中间阶段流失,24,6400,6397,6397,6397,6397,29420.8275,43,50.793983,4171,40,4163,3908,3069,1.0,1.0,1.0,0.0,0.0,0.0,331,1,24,39
no_dropout,关闭中间阶段流失,25,6400,6397,6397,6397,6397,29518.1369,42,49.037675,4069,39,3602,3764,3016,1.0,1.0,1.0,0.0,0.0,0.0,280,1,22,37
no_dropout,关闭中间阶段流失,26,6400,6397,6397,6397,6397,29599.3508,41,48.239417,4096,38,3596,3682,2961,1.0,1.0,1.0,0.0,0.0,0.0,292,1,21,36
no_stage_gating,关闭最短停留步数限制,22,6400,6397,3345,1460,909,3964.8721,35,41.629203,519,32,1394,962,328,0.522901,0.436472,0.622603,0.477099,0.563528,0.377397,303,1,17,30
no_stage_gating,关闭最短停留步数限制,23,6400,6397,3250,1316,795,3429.8211,33,39.92361,435,30,1257,789,269,0.508051,0.404923,0.604103,0.491949,0.595077,0.395897,304,1,14,28
no_stage_gating,关闭最短停留步数限制,24,6400,6397,3294,1343,731,3125.6774,37,43.437523,379,34,1315,855,317,0.514929,0.407711,0.544304,0.485071,0.592289,0.455696,311,1,18,31
no_stage_gating,关闭最短停留步数限制,25,6400,6397,3358,1365,845,3727.5587,33,39.503642,487,29,1490,950,314,0.524934,0.406492,0.619048,0.475066,0.593508,0.380952,265,1,15,27
no_stage_gating,关闭最短停留步数限制,26,6400,6397,3359,1460,959,4371.8768,33,40.246856,575,30,1403,922,321,0.52509,0.434653,0.656849,0.47491,0.565347,0.343151,295,1,16,28
slow_seed,降低初始传播源数量,22,6400,6399,3214,1311,786,3074.5516,56,60.393541,338,52,1797,997,345,0.502266,0.407903,0.599542,0.497734,0.592097,0.400458,367,1,26,48
slow_seed,降低初始传播源数量,23,6400,6399,3190,1213,670,2554.1422,65,69.642405,270,60,1920,1046,348,0.498515,0.380251,0.55235,0.501485,0.619749,0.44765,408,0,35,57
slow_seed,降低初始传播源数量,24,6400,6399,3124,1116,572,2055.3249,70,74.879605,205,66,1783,961,273,0.488201,0.357234,0.512545,0.511799,0.642766,0.487455,433,1,39,62
slow_seed,降低初始传播源数量,25,6400,6399,3286,1336,786,3110.9248,58,63.522813,339,55,2228,1222,385,0.513518,0.406573,0.588323,0.486482,0.593427,0.411677,378,1,30,51
slow_seed,降低初始传播源数量,26,6400,6399,3181,1209,712,2716.2687,58,63.404336,291,55,1840,1002,310,0.497109,0.380069,0.588916,0.502891,0.619931,0.411084,412,1,28,51
